Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Bergen - Florida;SN50540;04.01.2022 01:00;2,5
Bergen - Florida;SN50540;04.01.2022 02:00;2,9
Bergen - Florida;SN50540;04.01.2022 03:00;3,6
Bergen - Florida;SN50540;04.01.2022 04:00;3,2
Bergen - Florida;SN50540;04.01.2022 05:00;3,3
Bergen - Florida;SN50540;04.01.2022 06:00;3,8
Bergen - Florida;SN50540;04.01.2022 07:00;2,9
Bergen - Florida;SN50540;04.01.2022 08:00;3,4
Bergen - Florida;SN50540;04.01.2022 09:00;2,9
Bergen - Florida;SN50540;04.01.2022 10:00;1,5
Bergen - Florida;SN50540;04.01.2022 11:00;2,7
Bergen - Florida;SN50540;04.01.2022 12:00;3,5
Bergen - Florida;SN50540;04.01.2022 13:00;4,7
Bergen - Florida;SN50540;04.01.2022 14:00;3,6
Bergen - Florida;SN50540;04.01.2022 15:00;3,8
Bergen - Florida;SN50540;04.01.2022 16:00;2,8
Bergen - Florida;SN50540;04.01.2022 17:00;3,7
Bergen - Florida;SN50540;04.01.2022 18:00;3,6
Bergen - Florida;SN50540;04.01.2022 19:00;2,7
Bergen - Florida;SN50540;04.01.2022 20:00;2,4
Bergen - Florida;SN50540;04.01.2022 21:00;2,4
Bergen - Florida;SN50540;04.01.2022 22:00;2,5
Bergen - Florida;SN50540;04.01.2022 23:00;2,1
Bergen - Florida;SN50540;05.01.2022 00:00;2,2
Bergen - Florida;SN50540;05.01.2022 01:00;2,3
Bergen - Florida;SN50540;05.01.2022 02:00;2
Bergen - Florida;SN50540;05.01.2022 03:00;2,3
Bergen - Florida;SN50540;05.01.2022 04:00;1,8
Bergen - Florida;SN50540;05.01.2022 05:00;2,1
Bergen - Florida;SN50540;05.01.2022 06:00;2,3
Bergen - Florida;SN50540;05.01.2022 07:00;2,4
Bergen - Florida;SN50540;05.01.2022 08:00;2,2
Bergen - Florida;SN50540;05.01.2022 09:00;2,5
Bergen - Florida;SN50540;05.01.2022 10:00;2,3
Bergen - Florida;SN50540;05.01.2022 11:00;2,6
Bergen - Florida;SN50540;05.01.2022 12:00;2,3
Bergen - Florida;SN50540;05.01.2022 13:00;3
Bergen - Florida;SN50540;05.01.2022 14:00;2,9
Bergen - Florida;SN50540;05.01.2022 15:00;2,6
Bergen - Florida;SN50540;05.01.2022 16:00;2,5
Bergen - Florida;SN50540;05.01.2022 17:00;2,4
Bergen - Florida;SN50540;05.01.2022 18:00;2,5
Bergen - Florida;SN50540;05.01.2022 19:00;0,9
Bergen - Florida;SN50540;05.01.2022 20:00;0,1
Bergen - Florida;SN50540;05.01.2022 21:00;1,4
Bergen - Florida;SN50540;05.01.2022 22:00;1
Bergen - Florida;SN50540;05.01.2022 23:00;0,7
Bergen - Florida;SN50540;06.01.2022 00:00;0,3
Bergen - Florida;SN50540;06.01.2022 01:00;-1,1
Bergen - Florida;SN50540;06.01.2022 02:00;-1,3
Bergen - Florida;SN50540;06.01.2022 03:00;-1,6
Bergen - Florida;SN50540;06.01.2022 04:00;-1,9
Bergen - Florida;SN50540;06.01.2022 05:00;-2,4
Bergen - Florida;SN50540;06.01.2022 06:00;-2,3
Bergen - Florida;SN50540;06.01.2022 07:00;-2,3
Bergen - Florida;SN50540;06.01.2022 08:00;-2,5
Bergen - Florida;SN50540;06.01.2022 09:00;-2,1
Bergen - Florida;SN50540;06.01.2022 10:00;-2,2
Bergen - Florida;SN50540;06.01.2022 11:00;-0,8
Bergen - Florida;SN50540;06.01.2022 12:00;0,7
Bergen - Florida;SN50540;06.01.2022 13:00;0,9
Bergen - Florida;SN50540;06.01.2022 14:00;1
Bergen - Florida;SN50540;06.01.2022 15:00;1,4
Bergen - Florida;SN50540;06.01.2022 16:00;1,5
Bergen - Florida;SN50540;06.01.2022 17:00;1,7
Bergen - Florida;SN50540;06.01.2022 18:00;2,4
Bergen - Florida;SN50540;06.01.2022 19:00;2,6
Bergen - Florida;SN50540;06.01.2022 20:00;3
Bergen - Florida;SN50540;06.01.2022 21:00;3,1
Bergen - Florida;SN50540;06.01.2022 22:00;3,5
Bergen - Florida;SN50540;06.01.2022 23:00;3,1
Bergen - Florida;SN50540;07.01.2022 00:00;2,4
Data er gyldig per 22.02.2022 (CC BY 4.0), Meteorologisk institutt (MET);;;
